codigo_projeto;projeto;anexo;valor_projeto
9288130;Recuperação de rodovias pavimentadas em pior estado, conforme avaliação técnica do DER-MG / conclusão de corredor logístico estruturante, conforme critérios técnicos da Seinfra / melhoria da infraestrutura dos municípios;III;450000000,0
9288130;Melhoria da infraestrutura dos municípios;IV;1107550000,0
9288132;Construção de pontes em São Francisco, Manga e São Romão sobre o Rio São Francisco;III;300000000,0
9288133;Recuperação de rodovias pavimentadas em pior estado, conforme avaliação técnica do DER-MG/conclusão de corredor logístico estruturante, conforme critérios técnicos da SEINFRA;III;700000000,0
9288134;Realização de obras rodoviárias - Caeté - Barão de Cocais e Contorno de Barão de Cocais;IV;98860000,0
9288135;Implantação do Sistema de Informações Regulatórias da ARSAE-MG;IV;1345000,0
9288136;Reestruturação dos Hospitais da Rede FHEMIG (Hospital Infantil João Paulo II, Hospital João XXIII e Hospital Júlia Kubitschek);IV;111480000,0
9288137;Ampliação da rede de rádio digital no interior do Estado de Minas Gerais;IV;100000000,0
9288138;Proteção policial individual e do cidadão mineiro;IV;39614000,0
9288139;Atualização do Plano Diretor de Desenvolvimento Integrado da Região Metropolitana de Belo Horizonte - PDDI-RMBH;IV;3200000,0
9288141;Georreferenciamento de bens culturais protegidos;IV;500000,0
9288142;Fortalecimento da estrutura e dos processos do Instituto Mineiro de Agropecuária;IV;29712000,0
9288143;Implantação da Ouvidoria 4.0 e Ouvidoria Móvel;IV;728000,0
9288144;Construção do Núcleo Integrado de Perícias da Polícia Civil de Minas Gerais;IV;49000000,0
9288145;Projeto ABIS - Sistema Automatizado de Identificação Biométrica;IV;45345000,0
9288147;Convivência com a Seca - Construção de cisternas;IV;14817323,0
9288148;Fortalecimento do atendimento à saúde militar;IV;3000000,0
9288149;Revitalização do Parque de Exposições Bolivar de Andrade;IV;5000000,0
9288150;Segurança Rural e de Áreas de Risco;IV;10671300,0
9288152;Fortalecimento da competitividade turística de Minas Gerais;IV;15130000,0
9288153;Pesquisas, Tendências e Monitoramento da Cultura e do Turismo;IV;3000000,0
9288154;Plano de Desenvolvimento Integrado do Turismo em Minas Gerais;IV;650000,0
9288155;Fortalecimento e reestruturação tecnológica da Controladoria Geral do Estado;IV;5100000,0
9288167;Reestruturação das Tecnologias de Informação do CBMMG;IV;3773400,0
9288168;Expansão e fortalecimento da Academia do Corpo de Bombeiros Militar ;IV;130000000,0
9288169;Execução de obras e serviços de engenharia em várias unidades do CBMMG;IV;43368482,0
9288176;Reestruturação logística, tecnológica e de cobrança da dívida ativa da AGE;IV;23131467,96
9288177;Melhoria da infraestrutura dos municípios - Outros repasses;IV;100370000,0
9288178;Prevenção de Enchentes - Construção de Bacias de Contenção no Córrego Ferrugem;IV;253000000,0
9288179;Prevenção de Enchentes - Desapropriação para construção de bacias de contenção no Córrego Riacho das Pedras.;IV;45000000,0
9288180;Implantação do Rodoanel da Região Metropolitana de Belo Horizonte;III;3072030000,0
9288181;Reintegração social e humanização do sistema prisional;IV;75352000,0
9288182;Ampliação de postos de abastecimento próprios do Estado;IV;7000000,0
9288183;Melhoria da estrutura logística e energética da Cidade Administrativa para redução de custos;IV;8000000,0
9288185;Elaboração de Plano Metropolitano de Segurança Hídrica para a Região Metropolitana de Belo Horizonte.;IV;2000000,0
9288186;Ações de Prevenção e Combate a Incêndio em Unidades de Conservação Estaduais;IV;3000000,0
9288187;Consolidação das unidades de conservação no Estado de Minas Gerais;IV;36000000,0
9288188;Construção e/ou manutenção de Centros de Triagem e Reabilitação de Animais Silvestres no Estado de Minas Gerais;IV;8647600,0
9288189;Consultoria técnica sobre a descaracterização das barragens I e II da Mundo Mineração Ltda.;IV;300000,0
9288190;Estruturas de apoio;Estruturas de apoio;100000000,0
9288191;Ressarcimentos de despesas públicas;Ressarcimentos e contratações temporárias;210000000,0
9288192;Contratações temporárias;Ressarcimentos e contratações temporárias;100000000,0
9288193;Implantação do Sistema de Gestão de Processos (BPMS) no Instituto Mineiro de Agropecuária (IMA);IV;3900000,0
9288194;Reestruturação do laboratório de química agropecuária do Instituto Mineiro de Agropecuária;IV;3600000,0
9288195;Fortalecimento da estrutura de fiscalização do Sistema Estadual de Meio Ambiente;IV;749679,0
9288196;Estruturação operacional da Polícia Civil de Minas Gerais;IV;42412000,0
9288198;Conclusão de obra e Equipagem de Hospitais Regionais;IV;985935044,0
9288209;Estudo de viabilidade técnica e financeira e modelo de gestão da reestruturação da Fundação Ezequiel Dias – Funed;IV;1200000,0
9288210;Elaboração de instrumentos de gestão para desenvolvimento de mineração sustentável e competitiva - Avaliação Ambiental Estratégica;IV;2500000,0
9288211;Elaboração de instrumentos de gestão para desenvolvimento de mineração sustentável e competitiva - Elaboração do Plano Estadual da Mineração de Minas Gerais;IV;3200000,0
9288212;Intervenções e Obras a serem realizadas, sob a responsabilidade e de propriedade do Estado de Minas Gerais, com o objetivo de aumentar a resiliência das Bacias do Paraopeba e Rio das Velhas, de modo a garantir o abastecimento da Região Metropolitana de Belo Horizonte - RMBH;II.3;2050000000,0
9288213;Implantação de Fábrica de Software para construção de sistema de governança ambiental;IV;23000005,0
9288214;Estruturação, reforma e ampliação da Fundação Ezequiel Dias – Funed;IV;199489167,000002
9321270;Plano de Desenvolvimento da Cadeia Agropecuária;IV;800000,0
9334530;Modernização da identificação civil e criminal - Digitalização do acervo de fichas datiloscópicas e cartões onomásticos;IV;14000000,0
9999999;Complementação dos recursos federais para o Metrô da RMBH;III;427970000,0
